N_internal_boundary  2700
main point / neighbor point / shared face
     96      196      407
     97       98      408
     97      197      411
     98       99      412
     98      198      415
     99      199      419
    100      101      420
    100      110      423
    100      200      424
    101      102      425
    101      111      427
    101      201      428
    102      103      429
    102      112      431
    102      202      432
    103      104      433
    103      113      435
    103      203      436
    104      105      437
    104      114      439
    104      204      440
    105      106      441
    105      115      443
    105      205      444
    106      107      445
    106      116      447
    106      206      448
    107      108      449
    107      117      451
    107      207      452
    108      109      453
    108      118      455
    108      208      456
    109      119      459
    109      209      460
    110      111      461
    110      120      463
    110      210      464
    111      112      465
    111      121      466
    111      211      467
    112      113      468
    112      122      469
    112      212      470
    113      114      471
    113      123      472
    113      213      473
    114      115      474
    114      124      475
    114      214      476
    115      116      477
    115      125      478
    115      215      479
    116      117      480
    116      126      481
    116      216      482
    117      118      483
    117      127      484
    117      217      485
    118      119      486
    118      128      487
    118      218      488
    119      129      490
    119      219      491
    120      121      492
    120      130      494
    120      220      495
    121      122      496
    121      131      497
    121      221      498
    122      123      499
    122      132      500
    122      222      501
    123      124      502
    123      133      503
    123      223      504
    124      125      505
    124      134      506
    124      224      507
    125      126      508
    125      135      509
    125      225      510
    126      127      511
    126      136      512
    126      226      513
    127      128      514
    127      137      515
    127      227      516
    128      129      517
    128      138      518
    128      228      519
    129      139      521
    129      229      522
    130      131      523
    130      140      525
    130      230      526
    131      132      527
    131      141      528
    131      231      529
    132      133      530
    132      142      531
    132      232      532
    133      134      533
    133      143      534
    133      233      535
    134      135      536
    134      144      537
    134      234      538
    135      136      539
    135      145      540
    135      235      541
    136      137      542
    136      146      543
    136      236      544
    137      138      545
    137      147      546
    137      237      547
    138      139      548
    138      148      549
    138      238      550
    139      149      552
    139      239      553
    140      141      554
    140      150      556
    140      240      557
    141      142      558
    141      151      559
    141      241      560
    142      143      561
    142      152      562
    142      242      563
    143      144      564
    143      153      565
    143      243      566
    144      145      567
    144      154      568
    144      244      569
    145      146      570
    145      155      571
    145      245      572
    146      147      573
    146      156      574
    146      246      575
    147      148      576
    147      157      577
    147      247      578
    148      149      579
    148      158      580
    148      248      581
    149      159      583
    149      249      584
    150      151      585
    150      160      587
    150      250      588
    151      152      589
    151      161      590
    151      251      591
    152      153      592
    152      162      593
    152      252      594
    153      154      595
    153      163      596
    153      253      597
    154      155      598
    154      164      599
    154      254      600
    155      156      601
    155      165      602
    155      255      603
    156      157      604
    156      166      605
    156      256      606
    157      158      607
    157      167      608
    157      257      609
    158      159      610
    158      168      611
    158      258      612
    159      169      614
    159      259      615
    160      161      616
    160      170      618
    160      260      619
    161      162      620
    161      171      621
    161      261      622
    162      163      623
    162      172      624
    162      262      625
    163      164      626
    163      173      627
    163      263      628
    164      165      629
    164      174      630
    164      264      631
    165      166      632
    165      175      633
    165      265      634
    166      167      635
    166      176      636
    166      266      637
    167      168      638
    167      177      639
    167      267      640
    168      169      641
    168      178      642
    168      268      643
    169      179      645
    169      269      646
    170      171      647
    170      180      649
    170      270      650
    171      172      651
    171      181      652
    171      271      653
    172      173      654
    172      182      655
    172      272      656
    173      174      657
    173      183      658
    173      273      659
    174      175      660
    174      184      661
    174      274      662
